Tk,Fold,Model,CumRet,MaxDD
IMOEX,0,RF,-0.026421729351737033,0.03373777756866492
IMOEX,0,SARIMAX,-0.027773361021414145,0.027773361021414145
IMOEX,0,Naive,0.01336457352744791,0.008968138242905432
IMOEX,0,sNaive,-0.03161678531038736,0.03161678531038736
IMOEX,0,CatBoost,-0.023791756391097207,0.023791756391097207
IMOEX,0,LSTM_base,-0.01109191123753217,0.018407959454460054
IMOEX,0,LSTM_att,0.007179535350356536,0.011225929431932569
IMOEX,0,Hybrid,-0.01109191123753217,0.018407959454460054
IMOEX,1,RF,-0.002056231650320539,0.008012867715393002
IMOEX,1,SARIMAX,-0.00899404445199703,0.016827576106126396
IMOEX,1,Naive,0.0030554399723117243,0.004018291468987911
IMOEX,1,sNaive,-0.008948856230323265,0.013594297126798827
IMOEX,1,CatBoost,-0.00335050858839514,0.012439718688527335
IMOEX,1,LSTM_base,-0.02629868028277549,0.027180162745534364
IMOEX,1,LSTM_att,-0.013520073018670198,0.014405683611716014
IMOEX,1,Hybrid,-0.013520073018670198,0.014405683611716014
IMOEX,2,RF,-0.04570702184625608,0.046927621056707
IMOEX,2,SARIMAX,-0.044115416778211514,0.04418856028172469
IMOEX,2,Naive,0.022022014417466318,0.0147664292461831
IMOEX,2,sNaive,-0.028494491754475604,0.02856883055834658
IMOEX,2,CatBoost,0.026013984101182164,0.007821011871598449
IMOEX,2,LSTM_base,0.04197515769839888,0.000148083343598282
IMOEX,2,LSTM_att,0.04197515769839888,0.000148083343598282
IMOEX,2,Hybrid,0.04197515769839888,0.000148083343598282
IMOEX,3,RF,0.001123645753703606,0.014831029850663091
IMOEX,3,SARIMAX,-0.00944000367051745,0.012735348878291974
IMOEX,3,Naive,0.015653420362499615,0.004408562792687087
IMOEX,3,sNaive,-0.005900157457194077,0.02174289633704718
IMOEX,3,CatBoost,-0.005109914675784921,0.01703422382140307
IMOEX,3,LSTM_base,0.00024969252649564844,0.01143877450764641
IMOEX,3,LSTM_att,-0.0015754150788505061,0.017487076376040966
IMOEX,3,Hybrid,-0.010369207865646213,0.016944175705877695
IMOEX,4,RF,0.012799619548598207,0.011479358665764772
IMOEX,4,SARIMAX,-0.017303265308796334,0.017303265308796334
IMOEX,4,Naive,0.015749113980580542,0.0047345340738241815
IMOEX,4,sNaive,-0.017386166304518724,0.029910698073325248
IMOEX,4,CatBoost,0.0012044295174864494,0.013034220823419207
IMOEX,4,LSTM_base,-0.01657941993707568,0.022965734301943375
IMOEX,4,LSTM_att,-0.01657941993707568,0.022965734301943375
IMOEX,4,Hybrid,0.012799619548598207,0.011479358665764772
