Tk,Fold,Model,MAE,RMSE,MAPE,WAPE,sMAPE,MdAPE,MASE
IMOEX,0,RF,0.000690819099703449,0.0013698392394490202,108.35985787300375,66.70403855657273,88.75877222716379,55.23806992754835,0.675969663779854
IMOEX,0,SARIMAX,0.00013652492666259603,0.0001473056060256217,86.43278816844432,13.182559625152765,58.92323673869524,26.868258064060164,0.1335902681516776
IMOEX,0,Naive,0.0010219576070085168,0.0015432849174185027,287.2878112792969,98.67808532714844,114.27169799804688,104.47608947753906,0.9999902149540442
IMOEX,0,sNaive,0.0020303528290241957,0.0027551849888723793,761.4818725585938,196.0465850830078,163.9451904296875,259.324462890625,1.9867095738654614
IMOEX,0,CatBoost,0.0008162065761214386,0.0012321911789587004,198.07709582624307,78.81118942296787,113.21024830745785,73.50093644710998,0.7986618856840505
IMOEX,0,LSTM_base,0.0009525035857222974,0.001373622443684151,282.4697570800781,91.97174072265625,125.71533203125,84.19780731201172,0.9320291359434053
IMOEX,0,LSTM_att,0.0015123215271160007,0.001950200145115193,325.1075744628906,146.02658081054688,189.80445861816406,188.52574157714844,1.4798135642898098
IMOEX,0,Hybrid,0.0008654952980577946,0.0013063508535630806,292.0789794921875,83.57040405273438,103.26395416259766,68.19730377197266,0.8468911266094384
IMOEX,1,RF,0.004346694370739433,0.007426618618465576,124.94188736884337,96.87182848458067,113.21164022228824,86.70230983333721,0.6349678536833437
IMOEX,1,SARIMAX,0.00011430115344973847,0.00015924242735595046,3.8983441450201606,2.547352260860523,3.986432771238992,2.7195862091393685,0.01669718454742989
IMOEX,1,Naive,0.006845524534583092,0.009915604248313134,191.79287719726562,152.56155395507812,155.5615692138672,156.48220825195312,0.9999985391936963
IMOEX,1,sNaive,0.0062038772739470005,0.010073027581334078,151.1432647705078,138.2615966796875,162.11859130859375,121.36479187011719,0.9062663028877452
IMOEX,1,CatBoost,0.004322409659226746,0.006909703949699726,93.25794386330877,96.33061159473196,145.90522848851435,92.69346493416899,0.6314203277173286
IMOEX,1,LSTM_base,0.004570967983454466,0.0070514985925585645,107.47663879394531,101.87005615234375,157.37161254882812,99.85824584960938,0.6677298844030809
IMOEX,1,LSTM_att,0.004490428138524294,0.006882972189900327,99.70142364501953,100.07512664794922,195.37818908691406,100.23750305175781,0.65596457308615
IMOEX,1,Hybrid,0.004494792316108942,0.006931204944701906,95.84754180908203,100.1723861694336,141.9208984375,102.29911804199219,0.6566020948987419
IMOEX,2,RF,0.0024998244055882708,0.003023546889546166,98.16327878390192,73.72014654505057,126.53363076437228,83.30554445706746,0.500879544985053
IMOEX,2,SARIMAX,0.0002978766655561799,0.0003897865869989349,8.166505951777893,8.784421572996436,8.613477965190702,8.41108574979777,0.05968432357565278
IMOEX,2,Naive,0.004990859422832727,0.006010941658324274,242.29266357421875,147.18109130859375,142.7650146484375,142.394775390625,0.9999979963410875
IMOEX,2,sNaive,0.004660201258957386,0.005709742033507891,296.9212341308594,137.42994689941406,142.2703094482422,98.21942138671875,0.9337453786383255
IMOEX,2,CatBoost,0.002470200064429312,0.0028958577368883636,90.93500525406047,72.84652087492071,135.54071044619846,83.66225901211305,0.4949438374661525
IMOEX,2,LSTM_base,0.0034019898157566786,0.003913464115189018,97.5105972290039,100.32511901855469,169.02940368652344,100.78653717041016,0.6816427214450685
IMOEX,2,LSTM_att,0.0033909091725945473,0.0038766030446971108,97.30928039550781,99.99835205078125,181.5773162841797,99.71487426757812,0.6794225385023054
IMOEX,2,Hybrid,0.0033963408786803484,0.003871872976824377,104.77625274658203,100.15853881835938,183.50230407714844,99.88313293457031,0.6805108671331751
IMOEX,3,RF,0.0022116161296195586,0.0032023572568111365,100.06065517587086,60.56970498007435,110.26197722360759,80.07872664416283,0.33066843971071425
IMOEX,3,SARIMAX,0.0001636845255216934,0.00023119807791164294,12.057329545401359,4.482840981250158,11.526410811601801,6.049176965324421,0.02447319222091112
IMOEX,3,Naive,0.006688309367746115,0.00903326313217955,374.4241027832031,183.17324829101562,172.51312255859375,236.5165252685547,0.9999985048560857
IMOEX,3,sNaive,0.006848983466625214,0.008457243630520927,616.8087158203125,187.5736541748047,170.92897033691406,280.4203186035156,1.0240215949695657
IMOEX,3,CatBoost,0.002352489336422066,0.003184178329316156,93.10700433776735,64.42781058047647,104.6223952246076,73.26806031930592,0.3517310114954674
IMOEX,3,LSTM_base,0.0036403450649231672,0.005234678448625795,88.91820526123047,99.69841003417969,151.25372314453125,97.76410675048828,0.5442839770000278
IMOEX,3,LSTM_att,0.0036584099289029837,0.00528713875853297,89.12625885009766,100.19315338134766,147.53787231445312,99.31539916992188,0.5469849341443492
IMOEX,3,Hybrid,0.003735481994226575,0.005357448797989683,101.55167388916016,102.30394744873047,142.70030212402344,98.80621337890625,0.5585083170879426
IMOEX,4,RF,0.001573168816962037,0.0019312638362654492,65.866456112849,41.607808219814466,74.35562154151188,54.29701948361507,0.31540023998956057
IMOEX,4,SARIMAX,0.00010424062621843234,0.0001341287395118783,10.361264957129139,2.7569984464766826,8.078391418557885,2.6043887617827846,0.02089891318176886
IMOEX,4,Naive,0.0049878391437232494,0.005995848342268315,236.7527313232422,131.92039489746094,144.71751403808594,148.486328125,0.9999979951278173
IMOEX,4,sNaive,0.004822192247956991,0.007584731262077938,118.18404388427734,127.53929901123047,116.81793212890625,103.25761413574219,0.966787909779765
IMOEX,4,CatBoost,0.0017003090603877526,0.0018999723410219435,86.33052843070267,44.97046504878298,89.63386562876381,55.84603710289476,0.34089023372477806
IMOEX,4,LSTM_base,0.0038545827846974134,0.0049523793957402945,168.66358947753906,101.94757080078125,146.8619842529297,112.46229553222656,0.772794580114367
IMOEX,4,LSTM_att,0.0038371961563825607,0.0048708037883375185,106.35367584228516,101.48771667480469,195.5634002685547,102.64854431152344,0.7693087833683423
IMOEX,4,Hybrid,0.003737395629286766,0.00481285687740376,87.4684829711914,98.84815979003906,149.20619201660156,94.27220153808594,0.7493000533085359
