Tk,Mdl,CI_low,CI_med,CI_hi
IMOEX,CatBoost,-5.942768307416154e-05,0.0002387567769493091,0.0006189471228569172
IMOEX,Hybrid,-9.596123115807132e-05,0.0005641336076708588,0.001458725782136146
IMOEX,LSTM_att,-0.0005292501061630901,0.00035627816811029334,0.0013748167024726476
IMOEX,LSTM_base,-0.0009100305234369443,-6.851428527928268e-07,0.0009313373072491229
IMOEX,Naive,-0.0002723781323644895,-7.624911719176453e-05,0.00011761832396162671
IMOEX,RF,-0.0013327035351628008,-0.0008011228267762038,-0.0003160895707609654
IMOEX,SARIMAX,6.096403116629085e-05,0.0001422570413226162,0.00022809206323376946
IMOEX,sNaive,-0.0009501897347860602,0.00010194631201253894,0.001300293098662223
RTSI,CatBoost,-4.3795770683394355e-06,0.0003125088448041615,0.000620686019801929
RTSI,Hybrid,-0.0001621597870816913,0.0005767709740272645,0.0015660765895809162
RTSI,LSTM_att,0.0002199229648000862,0.0009239710851034033,0.0017806236131133724
RTSI,LSTM_base,-0.0007183789607952348,0.00029601734992562947,0.0014786930025378143
RTSI,Naive,-0.00036593051989378486,-0.00011745107008512908,0.00010928875335836574
RTSI,RF,-0.0011870615749991975,-0.0006788762637771316,-0.00027534834859740926
RTSI,SARIMAX,0.18688836870960354,44.2209442297832,195.74267194197407
RTSI,sNaive,-0.00110601312586247,8.261879508305961e-06,0.0011405006422234385
