Tk,Mdl,CI_low,CI_med,CI_hi
IMOEX,CatBoost,0.7863824040927538,3.523181903698534,6.269223342368363
IMOEX,Hybrid,-0.2291151193976402,1.7840560156355303,4.031914417325208
IMOEX,LSTM_att,-1.8443766924105585,0.4594081429764628,2.8667784473908435
IMOEX,LSTM_base,-4.632130655094981,-2.0665672390659653,0.5042721559405323
IMOEX,Naive,-0.6480583724280198,-0.040316684494415916,0.5111641045783955
IMOEX,RF,1.4490620923587263,4.309865679436994,8.227220244087793
IMOEX,SARIMAX,0.0731123314761693,2.5901911536795628,5.193919149971665
IMOEX,sNaive,-2.5838141638388237,0.17750002453724542,3.1311300642987088
RTSI,CatBoost,0.4093235951593836,1.2993378405584464,2.1329288220779747
RTSI,Hybrid,-0.37905601331591604,0.3609526909142733,1.2342985635946193
RTSI,LSTM_att,-0.07621522026571134,0.5426201502233744,1.2341364608307674
RTSI,LSTM_base,-0.9791485272881885,0.03425615145514409,1.0565140899500494
RTSI,Naive,-0.22665084699044627,0.03721667361756166,0.3391600038732091
RTSI,RF,-0.7517746110981868,0.7246584220829139,2.5716537654504106
RTSI,SARIMAX,0.18997238999968571,1.0424276071149405,1.8497290000953601
RTSI,sNaive,-1.0369891653296848,0.022316660930713016,1.0500500087402755
