Tk,Fold,Model,CumRet,MaxDD
IMOEX,0,RF,-0.026421729351737033,0.03373777756866492
IMOEX,0,SARIMAX,-0.027773361021414145,0.027773361021414145
IMOEX,0,Naive,0.007179535350356536,0.011225929431932569
IMOEX,0,sNaive,-0.04758671723580554,0.04758671723580554
IMOEX,0,CatBoost,-0.019646970081007797,0.019646970081007797
IMOEX,0,LSTM_base,-0.01109191123753217,0.018407959454460054
IMOEX,0,LSTM_att,0.007179535350356536,0.011225929431932569
IMOEX,0,Hybrid,-0.01109191123753217,0.018407959454460054
IMOEX,1,RF,0.010803780338071167,0.00423944167102952
IMOEX,1,SARIMAX,-0.00899404445199703,0.016827576106126396
IMOEX,1,Naive,0.00965864798873084,0.004556355688860814
IMOEX,1,sNaive,-0.009187480909934265,0.013264030169995666
IMOEX,1,CatBoost,-0.02775537829556418,0.028069462012696333
IMOEX,1,LSTM_base,-0.013589063675622404,0.014474651981229991
IMOEX,1,LSTM_att,-0.013520073018670198,0.014405683611716014
IMOEX,1,Hybrid,-0.013520073018670198,0.014405683611716014
IMOEX,2,RF,-0.023403694048000134,0.03188074888643322
IMOEX,2,SARIMAX,-0.05593175730970146,0.05593175730970146
IMOEX,2,Naive,0.04197515769839888,0.000148083343598282
IMOEX,2,sNaive,-0.050472982042146675,0.050472982042146675
IMOEX,2,CatBoost,0.03390646196491831,0.0068536529142129154
IMOEX,2,LSTM_base,0.04197515769839888,0.000148083343598282
IMOEX,2,LSTM_att,0.04197515769839888,0.000148083343598282
IMOEX,2,Hybrid,-0.03938129083035791,0.040609981038500664
IMOEX,3,RF,-0.011593715579488073,0.02734571754261661
IMOEX,3,SARIMAX,-0.026665883296326798,0.02756802019611393
IMOEX,3,Naive,0.001123645753703606,0.014831029850663091
IMOEX,3,sNaive,-0.022411090454140914,0.023317170918175867
IMOEX,3,CatBoost,-0.005109914675784921,0.01703422382140307
IMOEX,3,LSTM_base,-0.010917545244738092,0.021919738292912827
IMOEX,3,LSTM_att,-0.0015754150788505061,0.017487076376040966
IMOEX,3,Hybrid,-0.021433436182585308,0.022340422787665237
IMOEX,4,RF,0.012799619548598207,0.011479358665764772
IMOEX,4,SARIMAX,-0.02205733561129386,0.02749254380810151
IMOEX,4,Naive,0.012799619548598207,0.011479358665764772
IMOEX,4,sNaive,-0.007431766429053965,0.014668770366491057
IMOEX,4,CatBoost,-0.045874835135040204,0.045874835135040204
IMOEX,4,LSTM_base,-0.01657941993707568,0.022965734301943375
IMOEX,4,LSTM_att,-0.01657941993707568,0.022965734301943375
IMOEX,4,Hybrid,0.012799619548598207,0.011479358665764772
