Tk,Fold,Model,Feature,Importance
IMOEX,0,RF,Brent_lag24,0.006382465992533792
IMOEX,0,RF,USD_lag1,0.012310689254455607
IMOEX,0,RF,USD_lag2,0.005153652711705309
IMOEX,0,RF,USD_lag3,0.01084330847946393
IMOEX,0,RF,USD_lag4,0.007033821151077185
IMOEX,0,RF,USD_lag5,0.010811022910130525
IMOEX,0,RF,USD_lag6,0.0050139333333454284
IMOEX,0,RF,USD_lag7,0.005918191313271534
IMOEX,0,RF,USD_lag8,0.0071255703536993766
IMOEX,0,RF,USD_lag9,0.010894110414871393
IMOEX,0,RF,USD_lag10,0.005847087658962697
IMOEX,0,RF,USD_lag11,0.005454885531658634
IMOEX,0,RF,USD_lag12,0.0038007545531974535
IMOEX,0,RF,USD_lag13,0.006841251634947389
IMOEX,0,RF,USD_lag14,0.01152526696237705
IMOEX,0,RF,USD_lag15,0.005165239075531779
IMOEX,0,RF,USD_lag16,0.0043460729802001176
IMOEX,0,RF,USD_lag17,0.004438241207181895
IMOEX,0,RF,USD_lag18,0.0034149213186140887
IMOEX,0,RF,USD_lag19,0.00479307062814068
IMOEX,0,RF,USD_lag20,0.005566001124921375
IMOEX,0,RF,USD_lag21,0.006854840004667932
IMOEX,0,RF,USD_lag22,0.005293862537914653
IMOEX,0,RF,USD_lag23,0.02603707136372492
IMOEX,0,RF,USD_lag24,0.010373373857576957
IMOEX,0,RF,KeyRate_lag1,0.00014553798184121516
IMOEX,0,RF,KeyRate_lag2,1.672102878669062e-05
IMOEX,0,RF,KeyRate_lag3,3.649294075669516e-05
IMOEX,0,RF,KeyRate_lag4,7.873910531709752e-06
IMOEX,0,RF,KeyRate_lag5,0.00019827757824206668
IMOEX,0,RF,KeyRate_lag6,1.3052474309505364e-05
IMOEX,0,RF,KeyRate_lag7,2.6896142400547203e-05
IMOEX,0,RF,KeyRate_lag8,4.5688837694158517e-07
IMOEX,0,RF,KeyRate_lag9,1.5128523337210418e-06
IMOEX,0,RF,KeyRate_lag10,1.921615860129677e-06
IMOEX,0,RF,KeyRate_lag11,7.083020771664796e-05
IMOEX,0,RF,KeyRate_lag12,3.590985382941697e-05
IMOEX,0,RF,KeyRate_lag13,1.001473500115594e-05
IMOEX,0,RF,KeyRate_lag14,1.0739688572886085e-07
IMOEX,0,RF,KeyRate_lag15,9.713053944745704e-06
IMOEX,0,RF,KeyRate_lag16,0.00011005326496526334
IMOEX,0,RF,KeyRate_lag17,1.830355276088684e-05
IMOEX,0,RF,KeyRate_lag18,1.8373193000600665e-05
IMOEX,0,RF,KeyRate_lag19,2.9997872113120473e-06
IMOEX,0,RF,KeyRate_lag20,1.305839100005463e-06
IMOEX,0,RF,KeyRate_lag21,2.6242550995705397e-06
IMOEX,0,RF,KeyRate_lag22,5.776398085940786e-07
IMOEX,0,RF,KeyRate_lag23,8.276895684938373e-05
IMOEX,0,RF,KeyRate_lag24,3.959289517204217e-06
IMOEX,0,CatBoost,Open,0.0014442820067313324
IMOEX,0,CatBoost,High,0.0038879211148168287
IMOEX,0,CatBoost,Low,0.002930382915436713
IMOEX,0,CatBoost,Close,0.003858673427690608
IMOEX,0,CatBoost,Value,0.05774056465463774
IMOEX,0,CatBoost,Volume,0.0
IMOEX,0,CatBoost,SMA_5,0.0027224966732412926
IMOEX,0,CatBoost,SMA_10,0.005810296928570259
IMOEX,0,CatBoost,SMA_20,0.0010617883152824002
IMOEX,0,CatBoost,EMA_5,0.0015739769198513992
IMOEX,0,CatBoost,EMA_10,0.0030624414986487503
IMOEX,0,CatBoost,EMA_20,0.002163972495983944
IMOEX,0,CatBoost,BBH,0.0044348154873337445
IMOEX,0,CatBoost,BBL,0.0013028679366763102
IMOEX,0,CatBoost,RSI_50,0.012000475516668035
IMOEX,0,CatBoost,StochK,0.03423708223968428
IMOEX,0,CatBoost,StochD,0.024807238810214925
IMOEX,0,CatBoost,ATR_50,0.00542830988957565
IMOEX,0,CatBoost,OBV,0.0
IMOEX,0,CatBoost,MACD,0.016795745463110016
IMOEX,0,CatBoost,MACD_SIGNAL,0.00865086301795306
IMOEX,0,CatBoost,MACD_DIFF,0.020826339031904804
IMOEX,0,CatBoost,ADX_14,0.010267020077354892
IMOEX,0,CatBoost,CCI_20,0.020707615320834805
IMOEX,0,CatBoost,ROC_10,0.019354716806729247
IMOEX,0,CatBoost,WILLR_14,0.02003352775718696
IMOEX,0,CatBoost,lag1,0.002216485366837149
IMOEX,0,CatBoost,lag2,0.007442600900215389
IMOEX,0,CatBoost,lag3,0.00200997380468286
IMOEX,0,CatBoost,lag4,0.004134471270667484
IMOEX,0,CatBoost,lag5,0.0022789475966199808
IMOEX,0,CatBoost,lag6,0.010397043651395538
IMOEX,0,CatBoost,lag7,0.001756039066320465
IMOEX,0,CatBoost,lag8,0.006982762695918252
IMOEX,0,CatBoost,lag9,0.003141970658337454
IMOEX,0,CatBoost,lag10,0.002211234923846289
IMOEX,0,CatBoost,lag11,0.00464624770421375
IMOEX,0,CatBoost,lag12,0.003420636792887109
IMOEX,0,CatBoost,lag13,0.0042535559637979
IMOEX,0,CatBoost,lag14,0.003107973993759215
IMOEX,0,CatBoost,lag15,0.0031060755613835623
IMOEX,0,CatBoost,lag16,0.005739323143691743
IMOEX,0,CatBoost,lag17,0.007054042459873709
IMOEX,0,CatBoost,lag18,0.00464255273156054
IMOEX,0,CatBoost,lag19,0.005171698224704531
IMOEX,0,CatBoost,lag20,0.003919300072882812
IMOEX,0,CatBoost,lag21,0.0068757430626798155
IMOEX,0,CatBoost,lag22,0.0027993200282341985
IMOEX,0,CatBoost,lag23,0.008834086216618213
IMOEX,0,CatBoost,lag24,0.002912971866603507
IMOEX,0,CatBoost,lag25,0.0037897347901686856
IMOEX,0,CatBoost,lag26,0.002576455985456737
IMOEX,0,CatBoost,lag27,0.007878506308851892
IMOEX,0,CatBoost,lag28,0.009784766453120129
IMOEX,0,CatBoost,lag29,0.005463299369761552
IMOEX,0,CatBoost,lag30,0.002962445196623269
IMOEX,0,CatBoost,lag31,0.005865391778949276
IMOEX,0,CatBoost,lag32,0.004333566903144844
IMOEX,0,CatBoost,lag33,0.0037376410758365756
IMOEX,0,CatBoost,lag34,0.007552096437776633
IMOEX,0,CatBoost,lag35,0.004195444088155624
IMOEX,0,CatBoost,lag36,0.00880623410784495
IMOEX,0,CatBoost,lag37,0.004695259063449241
IMOEX,0,CatBoost,lag38,0.006868481356558357
IMOEX,0,CatBoost,lag39,0.0009782181296298402
IMOEX,0,CatBoost,lag40,0.003615795460015543
IMOEX,0,CatBoost,lag41,0.0036436417714730807
IMOEX,0,CatBoost,lag42,0.0015825921507115343
IMOEX,0,CatBoost,lag43,0.003062870133925709
IMOEX,0,CatBoost,lag44,0.0018235823461518858
IMOEX,0,CatBoost,lag45,0.004821326640776408
IMOEX,0,CatBoost,lag46,0.0038924347191989584
IMOEX,0,CatBoost,lag47,0.0031303417158063057
IMOEX,0,CatBoost,lag48,0.004757708218953276
IMOEX,0,CatBoost,lag49,0.004042237822813874
IMOEX,0,CatBoost,lag50,0.0069691914938044275
IMOEX,0,CatBoost,lag51,0.003764121191620823
IMOEX,0,CatBoost,lag52,0.004963887768113494
IMOEX,0,CatBoost,lag53,0.00624876165416224
IMOEX,0,CatBoost,lag54,0.001484784955785027
IMOEX,0,CatBoost,lag55,0.0039052006175348906
IMOEX,0,CatBoost,lag56,0.002348199898658663
IMOEX,0,CatBoost,lag57,0.003478361724927411
IMOEX,0,CatBoost,lag58,0.0067270798618306385
IMOEX,0,CatBoost,lag59,0.0029510915856507908
IMOEX,0,CatBoost,lag60,0.0031353388194916626
IMOEX,0,CatBoost,Brent_lag1,0.005105805215769365
IMOEX,0,CatBoost,Brent_lag2,0.005289692064457424
IMOEX,0,CatBoost,Brent_lag3,0.006392784416289197
IMOEX,0,CatBoost,Brent_lag4,0.005021125982720113
IMOEX,0,CatBoost,Brent_lag5,0.004857843455977845
IMOEX,0,CatBoost,Brent_lag6,0.0069032278706293426
IMOEX,0,CatBoost,Brent_lag7,0.010101808237870616
IMOEX,0,CatBoost,Brent_lag8,0.00854992978524679
IMOEX,0,CatBoost,Brent_lag9,0.010801298582435262
IMOEX,0,CatBoost,Brent_lag10,0.01108419018080559
IMOEX,0,CatBoost,Brent_lag11,0.009921563658571877
IMOEX,0,CatBoost,Brent_lag12,0.010837040764352247
IMOEX,0,CatBoost,Brent_lag13,0.006045417924304471
IMOEX,0,CatBoost,Brent_lag14,0.007346100977593607
IMOEX,0,CatBoost,Brent_lag15,0.0054815403300683884
IMOEX,0,CatBoost,Brent_lag16,0.0038775889177995225
IMOEX,0,CatBoost,Brent_lag17,0.006658752035698118
IMOEX,0,CatBoost,Brent_lag18,0.0026211147772241864
IMOEX,0,CatBoost,Brent_lag19,0.007044437500719559
IMOEX,0,CatBoost,Brent_lag20,0.005112981158952569
IMOEX,0,CatBoost,Brent_lag21,0.0076920182681719206
IMOEX,0,CatBoost,Brent_lag22,0.005425187475590154
IMOEX,0,CatBoost,Brent_lag23,0.007602170462234924
IMOEX,0,CatBoost,Brent_lag24,0.003057772816661748
IMOEX,0,CatBoost,USD_lag1,0.015092789892691465
IMOEX,0,CatBoost,USD_lag2,0.010851096830633265
IMOEX,0,CatBoost,USD_lag3,0.009541521359201017
IMOEX,0,CatBoost,USD_lag4,0.006168420292989607
IMOEX,0,CatBoost,USD_lag5,0.01191726869134855
IMOEX,0,CatBoost,USD_lag6,0.009871555505307047
IMOEX,0,CatBoost,USD_lag7,0.011683759248370949
IMOEX,0,CatBoost,USD_lag8,0.010865942220692926
IMOEX,0,CatBoost,USD_lag9,0.013986236856970306
IMOEX,0,CatBoost,USD_lag10,0.01701988155611074
IMOEX,0,CatBoost,USD_lag11,0.006099777863101059
IMOEX,0,CatBoost,USD_lag12,0.0146091204562489
IMOEX,0,CatBoost,USD_lag13,0.008076697916982655
IMOEX,0,CatBoost,USD_lag14,0.007733906963967777
IMOEX,0,CatBoost,USD_lag15,0.007048103149386345
IMOEX,0,CatBoost,USD_lag16,0.01265327384416463
IMOEX,0,CatBoost,USD_lag17,0.015054784883095296
IMOEX,0,CatBoost,USD_lag18,0.009173331009230035
IMOEX,0,CatBoost,USD_lag19,0.01252063627074118
IMOEX,0,CatBoost,USD_lag20,0.010346709357352622
IMOEX,0,CatBoost,USD_lag21,0.008925341521517137
IMOEX,0,CatBoost,USD_lag22,0.01128983918075397
IMOEX,0,CatBoost,USD_lag23,0.0154794987406222
IMOEX,0,CatBoost,USD_lag24,0.02071203443078718
IMOEX,0,CatBoost,KeyRate_lag1,0.0
IMOEX,0,CatBoost,KeyRate_lag2,0.0
IMOEX,0,CatBoost,KeyRate_lag3,0.0
IMOEX,0,CatBoost,KeyRate_lag4,0.0
IMOEX,0,CatBoost,KeyRate_lag5,0.0
IMOEX,0,CatBoost,KeyRate_lag6,0.0
IMOEX,0,CatBoost,KeyRate_lag7,0.0
IMOEX,0,CatBoost,KeyRate_lag8,0.0002170986117538934
IMOEX,0,CatBoost,KeyRate_lag9,0.0
IMOEX,0,CatBoost,KeyRate_lag10,0.00016012095149020263
IMOEX,0,CatBoost,KeyRate_lag11,0.0
IMOEX,0,CatBoost,KeyRate_lag12,0.0
IMOEX,0,CatBoost,KeyRate_lag13,0.0016829208424496123
IMOEX,0,CatBoost,KeyRate_lag14,0.0014911307032659652
IMOEX,0,CatBoost,KeyRate_lag15,0.00017738310197007315
IMOEX,0,CatBoost,KeyRate_lag16,0.0
IMOEX,0,CatBoost,KeyRate_lag17,0.0
IMOEX,0,CatBoost,KeyRate_lag18,0.0
IMOEX,0,CatBoost,KeyRate_lag19,0.0
IMOEX,0,CatBoost,KeyRate_lag20,0.0004686293788408562
IMOEX,0,CatBoost,KeyRate_lag21,0.0
IMOEX,0,CatBoost,KeyRate_lag22,0.0
IMOEX,0,CatBoost,KeyRate_lag23,0.0005505491265481636
IMOEX,0,CatBoost,KeyRate_lag24,0.0017046827206858067
IMOEX,1,RF,Open,0.0028086152629459103
IMOEX,1,RF,High,0.005345348522783419
IMOEX,1,RF,Low,0.002023693052067523
IMOEX,1,RF,Close,0.0027964863308412896
IMOEX,1,RF,Value,0.009746762912997921
IMOEX,1,RF,Volume,0.0
IMOEX,1,RF,SMA_5,0.0055927706811710965
IMOEX,1,RF,SMA_10,0.0051046360535429445
IMOEX,1,RF,SMA_20,0.007394521799255287
IMOEX,1,RF,EMA_5,0.003958801889488849
IMOEX,1,RF,EMA_10,0.003806863593565005
IMOEX,1,RF,EMA_20,0.0031673606581214685
IMOEX,1,RF,BBH,0.0061611282361075
IMOEX,1,RF,BBL,0.0038671757466573415
IMOEX,1,RF,RSI_50,0.02264860864058577
IMOEX,1,RF,StochK,0.01453255221615807
IMOEX,1,RF,StochD,0.01178989312201219
IMOEX,1,RF,ATR_50,0.01291158835545527
IMOEX,1,RF,OBV,0.0
IMOEX,1,RF,MACD,0.022232285329429922
IMOEX,1,RF,MACD_SIGNAL,0.03908784580896688
IMOEX,1,RF,MACD_DIFF,0.010614047482403723
IMOEX,1,RF,ADX_14,0.02142806221304685
IMOEX,1,RF,CCI_20,0.012131070483029978
IMOEX,1,RF,ROC_10,0.01693515335391793
IMOEX,1,RF,WILLR_14,0.010782796548460517
IMOEX,1,RF,lag1,0.0024225629923891353
IMOEX,1,RF,lag2,0.0028284278208079317
IMOEX,1,RF,lag3,0.0026116093718640304
IMOEX,1,RF,lag4,0.0013361785436396046
