Tk,Fold,Model,CumRet,MaxDD
IMOEX,0,RF,-0.010802395348117777,0.012855693929046175
IMOEX,0,SARIMAX,-0.001711583004455286,0.006439904630930582
IMOEX,0,Naive,-0.010802395348117777,0.012855693929046175
IMOEX,0,sNaive,-0.021785665543482935,0.021785665543482935
IMOEX,0,CatBoost,-0.0032248209399173833,0.007945975223233703
IMOEX,0,LSTM_base,0.010128792168930145,0.00213594514145643
IMOEX,0,LSTM_att,-0.013979210309032819,0.013979210309032819
IMOEX,0,Hybrid,0.010128792168930145,0.00213594514145643
IMOEX,1,RF,-0.0036962113405033525,0.020987457532795295
IMOEX,1,SARIMAX,0.02413123263607786,0.0075743239427198406
IMOEX,1,Naive,-0.016133344733636035,0.022405137039950174
IMOEX,1,sNaive,-0.036382699453078926,0.042525409483398224
IMOEX,1,CatBoost,-0.004174829619149278,0.021457769201968846
IMOEX,1,LSTM_base,-0.0029776947204979143,0.020623963376624088
IMOEX,1,LSTM_att,-0.0010173452791772952,0.017643956819057616
IMOEX,1,Hybrid,-0.0010173452791772952,0.017643956819057616
IMOEX,2,RF,0.0039050508909566073,0.008607510505838967
IMOEX,2,SARIMAX,0.010748930582081151,0.003615150692690472
IMOEX,2,Naive,-0.028364235806801363,0.03049444805667967
IMOEX,2,sNaive,0.0017495593489824657,0.006109208994050652
IMOEX,2,CatBoost,-0.0016580105260236566,0.01339718354411168
IMOEX,2,LSTM_base,-0.003119624269686261,0.012076727169425205
IMOEX,2,LSTM_att,-0.003119624269686261,0.012076727169425205
IMOEX,2,Hybrid,-0.000875116420747224,0.008566525215129905
IMOEX,3,RF,0.005365001006572001,0.008197059625729253
IMOEX,3,SARIMAX,0.009864611428074488,0.01013709092477022
IMOEX,3,Naive,-0.052766837508042674,0.05737230620816447
IMOEX,3,sNaive,-0.003791201927356158,0.017477574913643656
IMOEX,3,CatBoost,0.014454690972994344,0.008043964613805743
IMOEX,3,LSTM_base,-0.015929634072316734,0.01651263731272168
IMOEX,3,LSTM_att,-0.015929634072316734,0.01651263731272168
IMOEX,3,Hybrid,-0.015929634072316734,0.01651263731272168
IMOEX,4,RF,0.024584275148207713,0.006329676944773821
IMOEX,4,SARIMAX,0.019560183399150777,0.0047384833176729035
IMOEX,4,Naive,-0.03193804256389443,0.037649053289654955
IMOEX,4,sNaive,-0.03464142097342049,0.03675911114655506
IMOEX,4,CatBoost,0.024584275148207713,0.006329676944773821
IMOEX,4,LSTM_base,-0.0066190119894232735,0.023038563921813804
IMOEX,4,LSTM_att,-0.0066190119894232735,0.023038563921813804
IMOEX,4,Hybrid,0.002644505346006021,0.013441071394210469
