Tk,Fold,Model,MAE,RMSE,MAPE,WAPE,sMAPE,MdAPE,MASE
IMOEX,0,RF,12.194354960338446,18.687635700484947,182.88083270786146,116.24742573279043,144.21515483632712,109.97405454561346,0.738902542537171
IMOEX,0,SARIMAX,14.466022522163861,21.05745240993923,234.0811286720945,137.90297922797586,146.515699571481,166.74792336611736,0.8765515565843583
IMOEX,0,Naive,16.503333333333334,25.357515322549517,290.6673437487603,157.32443595826786,149.96748972094846,157.44990303813833,1.0
IMOEX,0,sNaive,11.488333333333335,16.935953373420308,168.73148015683074,109.51700030906284,159.4552255099246,117.56314602559955,0.6961219955564534
IMOEX,0,CatBoost,10.614882026883661,18.19082315796367,111.73373116966087,101.19048642555202,168.4187320309393,92.87479894407892,0.643196244812179
IMOEX,0,LSTM_base,12.085376558333332,19.742966351609756,173.89376268298318,115.20854678144194,141.35392698822187,160.45763383510558,0.7322991249242576
IMOEX,0,LSTM_att,10.25870845,17.366921524218085,91.12937561069538,97.79512344313672,145.99373753686015,93.91142199279709,0.6216143274086043
IMOEX,0,Hybrid,10.398258436666666,17.510622965018005,95.96819367898847,99.12543790124518,172.66069818181677,98.06855897986944,0.6300701941022016
IMOEX,1,RF,7.6066358699984535,8.444891003325946,101.6564016913462,100.10926785476038,191.115373071564,100.79641255537082,0.7494222532018182
IMOEX,1,SARIMAX,6.785169134281589,7.472640992434076,116.61314713152325,89.29812415271908,137.95005430285178,79.97528013240552,0.6684895698799597
IMOEX,1,Naive,10.149999999999999,11.418779853089966,251.19661678512713,133.58192584628404,140.4621883846951,143.05983735890277,1.0
IMOEX,1,sNaive,22.144166666666667,24.654954032269725,470.44926650291865,291.43452508319433,160.06658323449395,320.39062185063653,2.181691297208539
IMOEX,1,CatBoost,7.661985932670611,8.537600669727247,101.6262854252665,100.83771790081548,188.7461737456995,101.55208537276391,0.7548754613468582
IMOEX,1,LSTM_base,7.577698463066667,8.640969918264489,92.81969597979163,99.7284289831401,163.04267750277694,97.8677381052165,0.7465712771494254
IMOEX,1,LSTM_att,8.494127441666668,10.137122000922496,109.22399192594732,111.78934995483776,143.82739584271272,127.71996642028185,0.8368598464696226
IMOEX,1,Hybrid,7.5250368671666665,8.445949788865768,96.80350060336905,99.03536125915383,186.1940836317436,98.84186199041193,0.7413829425779969
IMOEX,2,RF,16.62357256575736,24.12111940589668,249.89415508439845,197.37100105803032,184.70129838910023,162.62527863598427,3.0898833765348255
IMOEX,2,SARIMAX,14.403353523268498,17.17446575062177,887.5713086934587,171.01043065412185,185.62018496431156,157.62979527501463,2.6772032571131037
IMOEX,2,Naive,5.38,7.687643765593373,781.4582640374276,63.876521216594796,111.1367470861981,70.85665044606651,1.0
IMOEX,2,sNaive,12.399999999999999,16.929781943860547,1309.0069992845251,147.22469574085045,147.65901420401667,129.82620211182598,2.3048327137546467
IMOEX,2,CatBoost,7.699954547996238,10.159774834227525,175.7518680394095,91.42124722154223,171.61352426041114,93.32996582167644,1.4312183174714197
IMOEX,2,LSTM_base,7.4128927083333345,8.245861683590258,798.0216737640666,88.01297367289871,108.80401892612998,69.50969169973384,1.377861098203222
IMOEX,2,LSTM_att,6.950676541666666,8.302505106062052,609.6812837041896,82.52509992257593,110.087675890732,67.40498364920819,1.2919473125774472
IMOEX,2,Hybrid,8.052966186333334,10.840830370741791,113.09539906566161,95.61254004792595,184.7706299097633,96.36688499611381,1.4968338636307312
IMOEX,3,RF,9.62612581593868,11.235588802356437,95.61908305137413,96.06911991155793,151.1566012474086,89.32737908937526,0.7779211380649482
IMOEX,3,SARIMAX,9.666836774235774,11.83423722519311,125.34239347946425,96.4754169005171,137.3428325790903,99.38845392652911,0.7812111340213435
IMOEX,3,Naive,12.374166666666667,15.054014691547678,208.98730350662152,123.49467730177193,147.49449641710834,165.9734817136518,1.0
IMOEX,3,sNaive,19.64166666666667,36.247400596456565,335.52630782920204,196.02461741550033,112.37302066242512,104.96242498729762,1.5873122769210048
IMOEX,3,CatBoost,11.130537328205593,12.79010708340612,149.86041132766525,111.08320685908085,150.34774105184692,120.28219724486348,0.8994979321063177
IMOEX,3,LSTM_base,10.337971391666667,11.741176637633231,133.57066291392889,103.17336717372146,164.24088790522055,99.54126320026597,0.8354478867263788
IMOEX,3,LSTM_att,10.016848192483332,11.479667823400867,102.25164810763887,99.96854482684893,197.9961341959797,99.80227728366631,0.8094967897488045
IMOEX,3,Hybrid,10.202893244166667,11.853427060186128,100.25371843437294,101.82528186944235,177.56765404798588,107.10881754662464,0.8245317457741261
IMOEX,4,RF,11.599425276105727,14.535273116314368,107.70233868389569,102.09263847958006,151.69035171436073,109.78446143049916,0.7733809496236732
IMOEX,4,SARIMAX,10.979484828338864,14.274713234539426,103.88353934339185,96.63621675986705,154.96824870438454,102.41357225781846,0.732046993777455
IMOEX,4,Naive,14.998333333333335,18.0241227248374,236.77119725374922,132.0082147475423,144.6827956701816,148.48154829890925,1.0
IMOEX,4,sNaive,14.701666666666663,23.09015843745267,119.8234516825069,129.39709548706193,116.64912274862873,103.34764486151605,0.9802200244471604
IMOEX,4,CatBoost,10.890699591961349,14.091006815196673,94.41536315835558,95.85477122924357,153.5755178477294,95.72349843914026,0.726127320277454
IMOEX,4,LSTM_base,11.320665775,14.477841846376574,137.5989731851509,99.63912959515628,160.7584936606,106.79719235572213,0.7547949177686409
IMOEX,4,LSTM_att,11.601037325,14.691254044831402,125.34733645906438,102.10682696918683,175.09640476765244,106.57121979797833,0.773488431492388
