begin,Close,ChainIncrement,MeanRelGrowthPct,Volatility
2023-10,1079.88,-14.489999999999782,-1.3240494531099887,
2023-11,1115.01,35.12999999999988,0.1489545003887234,9.34869605695728
2023-12,1083.48,-31.529999999999973,-0.1304805140347734,12.0751067430952
2024-01,1125.63,42.15000000000009,0.1848863288775353,8.811454558049498
2024-02,1127.32,1.6899999999998272,0.013068824959840098,11.793080698800528
2024-03,1136.91,9.590000000000146,0.04564954308578363,9.376798620447255
2024-04,1174.68,37.76999999999998,0.14382888279631648,6.796574642970545
2024-05,1125.68,-49.0,-0.19923012386244549,9.99474128396194
2024-06,1158.85,33.169999999999845,0.16366195459679922,17.066192153491148
2024-07,1076.55,-82.29999999999995,-0.30885457274500494,16.51868326586428
2024-08,915.6,-160.94999999999993,-0.7207017349237055,15.930585335580075
2024-09,965.64,50.039999999999964,0.26536178807091815,14.463126613169479
2024-10,831.27,-134.37,-0.6404239281484242,12.17184678469943
2024-11,753.78,-77.49000000000001,-0.4476868198431701,15.439858483807416
2024-12,893.22,139.44000000000005,0.8160239422516853,22.961758194745013
2025-01,949.5,56.27999999999997,0.3186669998866421,14.727302393496055
2025-02,1142.37,192.8699999999999,0.9625338099518554,28.321337367136408
2025-03,1110.31,-32.059999999999945,-0.11322128781038554,25.304915991430065
2025-04,1100.33,-9.980000000000018,-0.8988480694580809,
