Date,Close,ChainIncrement,ChainGrowthCoef,RelativeGrowth,RelativeGrowthPct,ChainIndex,BaseAbsolute,BaseRelativeCoef,BaseRelativePct,ChainAbsoluteIndex,ChainRelativeIndex,StructuralShiftAbsolute,StructuralShiftRelativePct
2023-10-31 00:00:00+00:00,1079.88,-14.489999999999782,0.9867595054689001,-0.013240494531099887,-1.3240494531099887,0.9867595054689001,-14.489999999999782,0.9867595054689001,-1.3240494531099878,-14.489999999999782,0.9867595054689001,-14.489999999999782,-1.3240494531099887
2023-11-01 00:00:00+00:00,1088.42,8.539999999999964,1.0079082861058635,0.00790828610586358,0.790828610586358,0.9945630819558285,-5.949999999999818,0.9945630819558287,-0.5436918044171346,8.539999999999964,1.0079082861058635,8.539999999999964,0.790828610586358
2023-11-02 00:00:00+00:00,1079.82,-8.600000000000136,0.9920986383932672,-0.00790136160673282,-0.790136160673282,0.9867046794045888,-14.549999999999955,0.986704679404589,-1.3295320595411053,-8.600000000000136,0.9920986383932672,-8.600000000000136,-0.790136160673282
2023-11-03 00:00:00+00:00,1093.74,13.920000000000073,1.0128910373951214,0.012891037395121476,1.2891037395121476,0.9994243263247347,-0.6299999999998818,0.9994243263247349,-0.05756736752651204,13.920000000000073,1.0128910373951214,13.920000000000073,1.2891037395121476
2023-11-06 00:00:00+00:00,1103.78,10.039999999999964,1.0091795124984,0.009179512498399952,0.9179512498399952,1.0085985544194376,9.410000000000082,1.0085985544194378,0.8598554419437798,10.039999999999964,1.0091795124984,10.039999999999964,0.9179512498399952
2023-11-07 00:00:00+00:00,1107.2,3.4200000000000728,1.0030984435304138,0.0030984435304137353,0.30984435304137353,1.0117236400851632,12.830000000000155,1.0117236400851632,1.1723640085163245,3.4200000000000728,1.0030984435304138,3.4200000000000728,0.30984435304137353
2023-11-08 00:00:00+00:00,1113.03,5.829999999999927,1.005265534682081,0.005265534682080859,0.5265534682080859,1.017050906000713,18.660000000000082,1.017050906000713,1.7050906000712907,5.829999999999927,1.005265534682081,5.829999999999927,0.5265534682080859
2023-11-09 00:00:00+00:00,1108.87,-4.160000000000082,0.9962624547406628,-0.0037375452593371985,-0.37375452593371983,1.0132496322084854,14.5,1.0132496322084852,1.3249632208485185,-4.160000000000082,0.9962624547406628,-4.160000000000082,-0.37375452593371983
2023-11-10 00:00:00+00:00,1107.44,-1.4299999999998363,0.9987103988745301,-0.0012896011254699257,-0.12896011254699258,1.0119429443424073,13.070000000000164,1.0119429443424073,1.194294434240728,-1.4299999999998363,0.9987103988745301,-1.4299999999998363,-0.12896011254699258
2023-11-13 00:00:00+00:00,1117.43,9.990000000000009,1.0090208047388571,0.009020804738857193,0.9020804738857193,1.0210714840501842,23.060000000000173,1.0210714840501842,2.107148405018422,9.990000000000009,1.0090208047388571,9.990000000000009,0.9020804738857193
