Datetime,Close,ret,vol,rsi,atr,cluster
2023-11-06 15:00:00+00:00,1098.63,-0.001182592380018832,0.0029595127894195892,56.27776924046153,4.605987999999983,1
2023-11-06 16:00:00+00:00,1100.65,0.0018369653414129772,0.0028392574042493423,57.43387599059224,4.558268239999984,1
2023-11-06 17:00:00+00:00,1102.56,0.001733834249557198,0.0028459992488591677,58.49282422629528,4.516302875199986,1
2023-11-06 18:00:00+00:00,1103.78,0.001105904007850711,0.002836212988449213,59.15511497832192,4.478176817695984,1
2023-11-07 10:00:00+00:00,1102.03,-0.0015867190439440293,0.0028470132594732487,57.80508414749549,4.505213281342063,1
2023-11-07 11:00:00+00:00,1102.22,0.00017239423883008698,0.002844048664396329,57.9114995062789,4.4719090157152195,1
2023-11-07 12:00:00+00:00,1101.08,-0.0010348115115776935,0.002848970495299478,57.03089770215022,4.437470835400915,1
2023-11-07 13:00:00+00:00,1101.97,0.0008079708117545437,0.0028252497666402636,57.545179144033916,4.410121418692895,1
2023-11-07 14:00:00+00:00,1102.95,0.0008889211985296797,0.002803820366291985,58.1085315454377,4.362518990319036,1
2023-11-07 15:00:00+00:00,1103.12,0.00015412022314453822,0.002789898358450215,58.20669653115025,4.315268610512655,1
2023-11-07 16:00:00+00:00,1104.81,0.0015308459326535129,0.0027969529410719926,59.177087436812286,4.283763238302402,1
2023-11-07 17:00:00+00:00,1106.46,0.0014923553489438746,0.002803359697317517,60.10004885122363,4.238087973536355,1
2023-11-07 18:00:00+00:00,1107.2,0.0006685760483220449,0.0027417853238862833,60.5086534036708,4.213926214065627,1
2023-11-08 10:00:00+00:00,1105.82,-0.001247164669884171,0.0027028270316385612,59.35204115500273,4.234247689784315,1
2023-11-08 11:00:00+00:00,1110.81,0.004502337719307192,0.002597148581536667,62.03001371708818,4.264562735988629,1
2023-11-08 12:00:00+00:00,1111.6,0.0007109399555202955,0.0024797757310341703,62.429876034706865,4.231671481268859,1
2023-11-08 13:00:00+00:00,1109.35,-0.0020261606697573598,0.002506116542720965,60.57592009309044,4.210238051643484,1
2023-11-08 14:00:00+00:00,1113.04,0.0033207523350302637,0.0025149969687964274,62.44239681537937,4.211033290610614,1
2023-11-08 15:00:00+00:00,1109.87,-0.0028521192031032427,0.002466480839108462,59.95418506803282,4.206412624798398,1
2023-11-08 16:00:00+00:00,1111.71,0.0016564791011211,0.0022746751183583816,60.877535302327026,4.205884372302426,1
2023-11-08 17:00:00+00:00,1114.27,0.0023001115271865658,0.0022602619579408976,62.11759595147259,4.207966684856377,1
2023-11-08 18:00:00+00:00,1113.03,-0.0011134558686407559,0.0022703992848780133,61.15944073475992,4.159807351159248,1
2023-11-09 10:00:00+00:00,1109.86,-0.002852144864499806,0.0022379950862575384,58.793718985355255,4.174811204136065,1
2023-11-09 11:00:00+00:00,1107.99,-0.0016863182299422519,0.0021930556975886424,57.45591895638036,4.178314980053343,1
2023-11-09 12:00:00+00:00,1105.94,-0.0018519109329426797,0.0022102427541249537,56.0297687228203,4.1531486804522775,1
2023-11-09 13:00:00+00:00,1104.26,-0.0015202247068613062,0.00221942137278886,54.89042069089292,4.11188570684323,1
2023-11-09 14:00:00+00:00,1105.18,0.0008327902574150059,0.0022197323144909154,55.39723841637213,4.074447992706365,1
2023-11-09 15:00:00+00:00,1106.62,0.001302107065248137,0.0022240544797681966,56.18350397447787,4.041359032852239,1
2023-11-09 16:00:00+00:00,1107.73,0.0010025516227996079,0.002225864343159727,56.78274167145369,4.022931852195197,1
2023-11-09 17:00:00+00:00,1107.15,-0.0005237304172300838,0.002228235256247165,56.37168524787663,3.998273215151292,1
2023-11-09 18:00:00+00:00,1108.87,0.00155233287190093,0.002233962581605978,57.30691222387554,3.9557077508482683,1
